"mine_basin","HYBAS_ID","distance","downstream"
"1121496561",1120039112,9954.73020691333,1
"1122236490",1120039250,97124.8174965715,1
"1121547310",1120039620,74932.0479804309,1
"1122253060",1120039620,74320.393191039,1
"1121524490",1120040200,38471.0389465565,1
"1121528010",1120040200,33735.3653307456,1
"1121528160",1120040200,23705.0063019186,1
"1121529920",1120040200,82563.4208617302,1
"1121532210",1120040200,41843.7323748089,1
"1121532280",1120040200,45936.1322889451,1
"1122246410",1120040200,47562.5602465894,1
"1121260890",1120040800,64828.913794881,1
"1122128340",1120040800,44911.4195124701,1
"1122128750",1120040800,51529.5256146093,1
"1120097540",1120041140,40641.1275148549,1
"1120097600",1120041140,29850.6648404962,1
"1120097970",1120041140,37064.6339187186,1
"1120098790",1120041140,60840.3616953721,1
"1120100410",1120041140,46895.962758804,1
"1120100970",1120041140,36182.5480799457,1
"1121666680",1120041140,48575.141991719,1
"1121667820",1120041140,57950.7956456823,1
"1120365870",1120041750,11416.6533006937,1
"1121775930",1120041750,16718.7489681742,1
"1120354130",1120042390,45907.1979059144,1
"1120354240",1120042390,57527.3615454722,1
"1121773760",1120042390,56384.0072689218,1
"1120397250",1120042540,77736.7256823129,1
"1121584360",1120042560,86633.6735311122,1
"1122270680",1120042560,76788.9022743055,1
"1121774690",1120042800,36704.7818176731,1
"1121775090",1120042800,27624.8919953627,1
"1121775800",1120042800,18059.3385070416,1
"1120123950",1120045200,11702.5968626605,1
"1120124410",1120045200,19965.2217427455,1
"1121630830",1120045470,14344.530555666,1
"1121631080",1120045470,23516.1069046858,1
"1121631150",1120045470,33085.5127125892,1
"1120359710",1120045490,84776.6157365406,1
"1121708680",1120046460,29894.4651191283,1
"1121605480",1120048210,19638.9211144145,1
"1122278300",1120048210,14311.1461607419,1
"1120051010",1120051010,0,0
"1121633590",1120051010,3927.16730315069,1
"1121636610",1120051610,14135.1346679862,1
"1122290890",1120051610,20335.5593480178,1
"1120283700",1120052240,10107.6759810275,1
"1121742780",1120052240,17446.9043548577,1
"1121673620",1120053790,26286.9312476728,1
"1120122270",1120054030,17674.7668087434,1
"1120122370",1120054030,13777.4541317784,1
"1121677130",1120054030,25971.7317211653,1
"1120056370",1120056370,0,0
"1121633840",1120057450,13461.7433082908,1
"1121623720",1120057890,78236.3124862671,0
"1122283910",1120059070,11709.5540441887,1
"1122284040",1120059070,18786.2712114016,1
"1122242920",1120059090,9761.07760875916,1
"1120097480",1120059610,4407.33725974539,1
"1120059960",1120059960,0,0
"1121623800",1120060050,98895.9305996391,0
"1120061320",1120061320,0,0
"1122287000",1120061320,9354.55496098217,1
"1120062310",1120062310,0,0
"1122283110",1120062310,17064.4633315391,1
"1121623800",1120063380,80558.6163326741,0
"1120015720",1120064440,23372.7299534422,0
"1121623800",1120066050,93421.6587461505,0
"1121623800",1120066090,73339.5439016801,0
"1121630260",1120067150,24939.7517374112,0
"1121633030",1120068430,54145.7570006766,0
"1121623800",1120070090,73735.4307157271,0
"1121633030",1120072680,45208.2505905688,0
"1121623800",1120072880,89093.6495510122,0
"1121630260",1120073180,26564.4131850054,0
"1121623720",1120073600,89649.3241341584,0
"1121623800",1120075010,107134.750987013,0
"1121623720",1120076810,80989.5881564819,0
"1121623800",1120077000,81791.4857112827,0
"1121633030",1120078440,44014.4869544838,0
"1121633030",1120078840,37572.7906637147,0
"1120015690",1120079660,34898.7362766994,0
"1121623800",1120079740,99573.6716697255,0
"1120015690",1120080470,36466.967895791,0
"1121623800",1120081110,85638.8216559647,0
"1120015590",1120081590,7435.32210973544,0
"1121623800",1120081850,68569.1037873256,0
"1121623800",1120081890,82723.8809096674,0
"1120015690",1120082450,32041.2541376258,0
"1120083300",1120082950,38751.6449484781,1
"1120083300",1120082980,30673.3723920358,1
"1120083300",1120083010,24406.1813702712,1
"1120083300",1120083070,14960.5172445825,1
"1120083300",1120083080,11681.2658715491,1
"1120083420",1120083590,19608.1158315077,0
"1120083420",1120083600,15723.2932839905,0
"1121660912",1120083721,11718.0927838884,1
"1120084680",1120083722,23420.0127966627,1
"1121660912",1120083722,7566.76386853202,1
"1120084680",1120083801,30707.4414737697,1
"1120084960",1120083801,89502.0727470607,1
"1120084980",1120083801,92957.6832393126,1
"1120084680",1120083802,20096.1690435962,1
"1120084960",1120083802,87045.4135909015,1
"1120084980",1120083802,89131.0550702719,1
"1120085000",1120083802,96253.9181684854,1
"1120085020",1120083802,95946.085884796,1
"1120084680",1120083821,24208.5222677537,1
"1121660912",1120083821,10029.3181745405,0
"1120084680",1120083822,20638.0720656065,1
"1120084680",1120083831,28700.0093893242,1
"1120084960",1120083831,81003.1424751365,1
"1120084980",1120083831,84178.6351829193,1
"1120085000",1120083831,89869.7857241454,1
"1120085020",1120083831,90450.661689388,1
"1120085171",1120083831,107675.386836095,1
"1120085210",1120083831,99735.6973856458,1
"1120084680",1120083832,14887.4420963076,1
"1120084960",1120083832,84571.2578559799,1
"1120084980",1120083832,85828.9154693841,1
"1120085000",1120083832,94014.3285639338,1
"1120085020",1120083832,93000.4971011128,1
"1120085171",1120083832,111302.747195377,1
"1120085210",1120083832,101897.409546709,1
"1121660912",1120083840,7449.46680268458,0
"1120084960",1120083890,75296.2187652036,1
"1120084980",1120083890,78237.4590953495,1
"1120085000",1120083890,84277.6080627069,1
"1120085020",1120083890,84612.805019392,1
"1120085171",1120083890,102014.542214127,1
"1120085210",1120083890,93861.7308721268,1
"1120084680",1120083900,13866.319722632,1
"1120084960",1120084010,69755.5336213527,1
"1120084980",1120084010,72488.7638113911,1
"1120085000",1120084010,78839.0704191349,1
"1120085020",1120084010,78949.4717430754,1
"1120085171",1120084010,96503.7089225798,1
"1120085210",1120084010,88165.4564190098,1
"1120084960",1120084040,56386.4990627606,1
"1120084980",1120084040,58882.6186135329,1
"1120085000",1120084040,65634.8167501739,1
"1120085020",1120084040,65400.9958522125,1
"1120085171",1120084040,83157.3175708188,1
"1120085210",1120084040,74584.026390654,1
"1120084960",1120084240,37130.4720246173,1
"1120084980",1120084240,39816.8904692953,1
"1120085000",1120084240,46534.0589740927,1
"1120085020",1120084240,46093.6738183152,1
"1120085171",1120084240,63896.1975377614,1
"1120085210",1120084240,55327.1737903589,1
"1120084350",1120084271,9494.10106575343,1
"1120084350",1120084272,13732.6946781819,1
"1120084960",1120084880,7057.4547383589,1
"1120084980",1120084880,10559.6659958485,1
"1120085000",1120084880,16891.2729254884,1
"1120085020",1120084880,14693.8517971844,1
