cluster,region,district,distype,subdist,ea,locality,eacode,v9,dist_new,latitude,longitude
902,8,4,1,0,88,1,804100088,Gonja Central,804,9.1433096,-1.15461
1163,10,6,1,0,66,9,1006100066,Jirapa,1006,9.7964497,-2.4916799
521,5,4,1,0,46,1,504100046,Suhum / Kraboa Coaltar,504,5.9170699,-.422528
666,6,11,2,0,110,24,611200110,Ejisu Juaben,611,5.93293,-.98740298
526,5,4,1,0,211,20,504100211,Suhum / Kraboa Coaltar,504,6.0406799,-.45384601
5,1,1,1,0,121,24,101100121,Jomoro,101,5.0859799,-2.94314
206,2,12,1,0,108,1,212100108,Asikuma / Odoben  / Brakwa,212,5.6368299,-.96121699
293,3,4,3,2,249,8,304302249,AMA  - Ablekuma Central,304,5.5560398,-.25830999
825,7,11,1,0,20,1,711100020,Jaman South,711,7.5033998,-2.9150801
938,8,10,2,0,273,1,810200273,Yendi,810,9.5866404,-.145206
973,8,14,1,0,75,12,814100075,Karaga,814,9.9379702,-.54302502
458,4,11,2,0,172,1,411200172,Hohoe,411,7.0652099,.53441101
603,5,17,1,0,119,1,517100119,Atiwa,517,6.3874998,-.53114402
1019,9,2,1,0,89,1,902100089,Kasena Nankana West,902,10.8747,-.98473603
838,7,14,2,0,19,2,714200019,Wenchi,714,7.5610099,-2.16346
142,2,4,2,0,11,2,204200011,Mfantsiman,204,5.2701001,-1.0172
329,3,4,3,10,29,3,304310029,AMA  -  Okai Koi North,304,5.58992,-.2374
1080,9,8,1,0,156,1,908100156,Garu Tempane,908,10.9081,-.165529
72,1,10,1,0,62,1,110100062,Wassa Amenfi East,110,5.76051,-2.1449201
66,1,9,1,0,106,10,109100106,Prestea / Huni Valley,109,5.4352999,-2.1443901
1012,9,1,1,0,121,1,901100121,Builsa,901,10.7913,-1.1614799
1126,10,2,2,0,116,10,1002200116,Wa Municipal,1002,10.0431,-2.5048001
1131,10,3,1,0,43,5,1003100043,Wa East,1003,9.93643,-2.19822
12,1,2,1,0,98,24,102100098,Ellembelle,102,5.0481501,-2.4546599
533,5,5,2,0,168,17,505200168,Akwapim South,505,5.8468499,-.173948
136,2,3,1,0,30,2,203100030,Abura / Asebu / Kwamankese,203,5.1305099,-1.20123
917,8,7,1,0,75,1,807100075,Nanumba South,807,8.7289495,.15878101
621,5,21,1,0,176,13,521100176,Kwahu North,521,6.9394898,-.249685
1114,10,1,1,0,121,1,1001100121,Wa West,1001,10.0489,-2.5118699
855,7,16,1,0,63,8,716100063,Nkoranza South,716,7.5295601,-1.8072
330,3,4,3,10,65,3,304310065,AMA  -  Okai Koi North,304,5.6003299,-.239483
840,7,14,2,0,87,8,714200087,Wenchi,714,7.75247,-2.10304
927,8,9,1,0,74,1,809100074,Zabzugu Tatali,809,9.2500095,.43378299
1082,9,8,1,0,192,1,908100192,Garu Tempane,908,10.9392,-.039962001
653,6,7,2,0,214,39,607200214,Bekwai Municipal,607,6.50526,-1.53527
798,7,5,1,0,40,6,705100040,Dormaa East,705,7.2588,-2.7574899
181,2,9,2,0,39,2,209200039,Awutu Senya,209,5.5089798,-.52428299
1155,10,5,1,0,142,23,1005100142,Nadowli,1005,10.3717,-2.66696
304,3,4,3,5,55,4,304305055,AMA   - La,304,5.5609698,-.15693299
70,1,9,1,0,248,25,109100248,Prestea / Huni Valley,109,5.60532,-2.0624101
858,7,17,1,0,14,1,717100014,Nkoranza North,717,7.6501698,-1.67389
787,7,3,1,0,77,7,703100077,Asutifi,703,6.9804902,-2.3867099
842,7,14,2,0,135,1,714200135,Wenchi,714,7.9802098,-2.0645199
