eanum,reg_code,reg_name,ur,ez,locality_name,dist_name
240,5,Eastern,2,2,KWASI TUNTUM (KWESINTUM),Birim South
241,5,Eastern,1,2,AKIM-ACHIASE,Birim South
242,5,Eastern,1,2,AKIM-SWEDRU,Birim South
243,5,Eastern,1,2,ASENE,Birim South
244,5,Eastern,2,2,AKIM-AKENKAUSO,Birim South
245,5,Eastern,1,2,ASAMANKESE,West Akim
246,5,Eastern,2,2,ASUASU,West Akim
247,5,Eastern,2,2,BREKUMANSO,West Akim
248,5,Eastern,2,2,ABAMKROM,West Akim
249,5,Eastern,1,2,AKWATIA,Kwaebibirem
250,5,Eastern,2,2,KOFI DONKOR AKURAA,Kwaebibirem
251,5,Eastern,1,2,ASUOM,Kwaebibirem
252,5,Eastern,2,2,TAKYIMANG,Kwaebibirem
253,5,Eastern,2,2,ABOMPE,Kwaebibirem
254,5,Eastern,1,2,SUHUM,Suhum/Kraboa/Coaltar
255,5,Eastern,2,2,AMEDE,Suhum/Kraboa/Coaltar
256,5,Eastern,2,2,NTUMKUM,Suhum/Kraboa/Coaltar
257,5,Eastern,1,2,NEW TAFO-ATI,East Akim
258,5,Eastern,2,2,KWASI KRAKYE,East Akim
259,5,Eastern,2,2,KUNDO DADASO,East Akim
260,5,Eastern,1,2,KIBI,East Akim
261,5,Eastern,1,2,APEDWA,East Akim
262,5,Eastern,2,2,ADASAWASE,East Akim
263,5,Eastern,2,2,ADONKWANTA,East Akim
264,5,Eastern,2,2,TONTRO,East Akim
265,5,Eastern,1,2,BEGORO,Fanteakwa
266,5,Eastern,2,2,ASIREBUSO,Fanteakwa
267,5,Eastern,2,2,ABOMPE,Fanteakwa
268,5,Eastern,1,1,KOFORIDUA,New Juabeng
269,5,Eastern,1,1,KOFORIDUA,New Juabeng
270,5,Eastern,1,1,OYOKO,New Juabeng
271,5,Eastern,2,1,AFUMKROM,Akwapim South
272,5,Eastern,2,1,KWAME NTOWKROM,Akwapim South
273,5,Eastern,1,1,ADOAGYIRI,Akwapim South
274,5,Eastern,2,1,KABU,Akwapim North
275,5,Eastern,1,1,LARTEH,Akwapim North
276,5,Eastern,2,1,MAMFE,Akwapim North
277,5,Eastern,1,1,SOMANYA,Yilo Krobo
278,5,Eastern,2,1,AHIEYOM,Yilo Krobo
279,5,Eastern,2,1,AKORWU BANA,Yilo Krobo
280,5,Eastern,2,1,NKURAKAN,Yilo Krobo
281,5,Eastern,2,3,TERNGUANYA,Manya Krobo
282,5,Eastern,2,3,AKOKOMA LAGOS YITI,Manya Krobo
283,5,Eastern,1,3,KROBO ODUMASE,Manya Krobo
284,5,Eastern,2,3,AKUSE,Manya Krobo
285,5,Eastern,1,3,AKOSOMBO,Asuogyaman
286,5,Eastern,2,3,SAHLEHKOPE,Asuogyaman
287,5,Eastern,2,3,PUPUNI,Asuogyaman
288,5,Eastern,2,3,FAASO BATTOR,Afram Plains
289,5,Eastern,2,3,EKYE AMANFROM,Afram Plains
290,5,Eastern,1,2,NKAWKAW,Kwahu West
291,5,Eastern,2,2,ASUBONE NO.3,Kwahu West
292,5,Eastern,2,2,HYIAMANKYENE,Kwahu West
293,5,Eastern,1,2,BEPONG,Kwahu West
294,5,Eastern,2,2,NKETEPA,Kwahu West
295,5,Eastern,2,2,ABENE KWAHU,Kwahu West
296,6,Ashanti,1,2,ABUAKWA,Atwima Nwabiagya
297,6,Ashanti,2,2,KARIKARIKROM,Atwima Nwabiagya
298,6,Ashanti,2,2,HUNTADO,Atwima Nwabiagya
299,6,Ashanti,2,2,AMPENKRO,Atwima Nwabiagya
300,6,Ashanti,2,2,AMANCHIA,Atwima Nwabiagya
301,6,Ashanti,2,2,KOTOKUOM,Atwima Nwabiagya
302,6,Ashanti,2,2,KWANKYIABO,Amansie West
303,6,Ashanti,2,2,ESAASE,Amansie West
304,6,Ashanti,2,2,MANSO MIM,Amansie West
305,6,Ashanti,1,2,BEKWAI,Amansie East
306,6,Ashanti,2,2,ABUNTUNSO,Amansie East
307,6,Ashanti,2,2,NEREBEHI,Amansie East
308,6,Ashanti,2,2,OFOASE-KOKOBEN,Amansie East
309,6,Ashanti,2,2,BONI (BEHENASE),Amansie East
310,6,Ashanti,2,2,FIANKUMA,Amansie East
311,6,Ashanti,2,2,TWEAPEASE,Amansie East
312,6,Ashanti,2,2,MILE FIFTEEN (15),Amansie East
313,6,Ashanti,1,2,OBUASI,Obuasi Municipal
314,6,Ashanti,1,2,OBUASI,Obuasi Municipal
315,6,Ashanti,1,2,OBUASI,Obuasi Municipal
316,6,Ashanti,1,2,OBUASI,Obuasi Municipal
317,6,Ashanti,2,2,NYAMEBEKYERE(MASTER NKWAN,Obuasi Municipal
318,6,Ashanti,2,2,BOBRIASE,Obuasi Municipal
319,6,Ashanti,1,2,NEW EDUBIASE,Adansi South
320,6,Ashanti,2,2,AHIAGBAKOPE,Adansi South
321,6,Ashanti,2,2,KOJO EKWANKROM,Adansi South
322,6,Ashanti,2,2,ASOKWA,Adansi South
